id,name,street,adress,pow_teryt,pow_name,gmina_town,phone,url
point-27093,Powiślański Bank Spółdzielczy w Kwidzynie Oddział w Ryjewie,ul. Grunwaldzka 52,82-420 Ryjewo,2207,kwidzynski,ryjewo,Tel: 55 277-42-81,powislanski.pl
point-27102,Powiślański Bank Spółdzielczy w Kwidzynie Punkt Kasowy w Kwidzynie,ul. Kościuszki 29b,82-500 Kwidzyn,2207,kwidzynski,kwidzyn,Tel: 55 275-18-74,powislanski.pl
point-27091,Powiślański Bank Spółdzielczy w Kwidzynie,ul. Kopernika 28,82-500 Kwidzyn,2207,kwidzynski,kwidzyn,Tel: 55 261-45-30,powislanski.pl
point-27095,Powiślański Bank Spółdzielczy w Kwidzynie Punkt Kasowy w Kwidzynie,ul. Warszawska 18,82-500 Kwidzyn,2207,kwidzynski,kwidzyn,Tel: 55 261-51-39,powislanski.pl
point-25109,Powiślański Bank Spółdzielczy w Kwidzynie Oddział w Gardei,ul. Spółdzielcza 1A,82-520 Gardeja,2207,kwidzynski,gardeja,Tel: 55 275-14-10,powislanski.pl
point-27092,Powiślański Bank Spółdzielczy w Kwidzynie Oddział w Sadlinkach,ul. Polna 2c,82-522 Sadlinki,2207,kwidzynski,sadlinki,Tel: 55 275-75-79,powislanski.pl
point-27097,Powiślański Bank Spółdzielczy w Kwidzynie Oddział w Prabutach,ul. Kraszewskiego 4,82-550 Prabuty,2207,kwidzynski,prabuty,Tel: 55 278-37-49,powislanski.pl
point-26964,Gospodarczy Bank Spółdzielczy Radków z/s w Nowej Rudzie POK w Jugowie,ul. Główna 83,57-450 Jugów,0202,dzierzoniowski,pieszyce,Tel: 74 865-64-37,gbsradkow.pl
point-26715,Bank Spółdzielczy w Świdnicy Oddział w Głuszycy,ul. Grunwaldzka 55,58-340 Głuszyca,0202,dzierzoniowski,pieszyce,Tel: 74 845-63-96,bsswidnica.pl
point-26879,Bank Spółdzielczy w Ząbkowicach Śląskich Oddział w Niemczy,Rynek 10,58-230 Niemcza,0202,dzierzoniowski,dzierzoniow,Tel: 74 837-61-56,bs-zabkowicesl.pl
point-26076,Bank Spółdzielczy w Limanowej Oddział w Krakowie,ul. Kamieńskiego 47,30-644 Kraków,0202,dzierzoniowski,lagiewniki,Tel: 12 357-77-77,bs.limanowa.pl
point-26800,Małopolski Bank Spółdzielczy Oddział w Krakowie,ul. Wysłouchów 4,30-611 Kraków,0202,dzierzoniowski,lagiewniki,Tel: 12 654-56-16,mbsw.pl
point-26244,Bank Spółdzielczy w Mszanie Dolnej Punkt Obsługi Klienta w Krakowie,ul. Wielicka 57/4,35-552 Kraków,0202,dzierzoniowski,lagiewniki,Tel: 12 261-15-50,bsmszana.pl
point-10080,Bank Polskiej Spółdzielczości,Tadeusza Kościuszki 53,30-114 Kraków,0202,dzierzoniowski,lagiewniki,Tel: 12 618 17 00,bankbps.pl
point-27005,Nadwiślański Bank Spółdzielczy w Solcu-Zdroju Oddział w Krakowie,ul. Bajeczna 2B/4,31-566 Kraków,0202,dzierzoniowski,lagiewniki,Tel: 12 414-00-00,nbsbank.pl
point-26137,Łącki Bank Spółdzielczy Punkt Obsługi Klienta w Krakowie,ul. Szlak 65,31-153 Kraków,0202,dzierzoniowski,lagiewniki,Tel: 18 545-04-06,bslacko.pl
point-26634,Nadsański Bank Spółdzielczy Oddział w Krakowie,ul. Stawowa 10,31-346 Kraków,0202,dzierzoniowski,lagiewniki,Tel: 12 446-92-01,sanbank.pl
point-26568,Bank Spółdzielczy w Skawinie Filia nr 1 w Skawinie,ul. Ogrody 78,32-050 Skawina,0202,dzierzoniowski,lagiewniki,Tel: 12 276-83-89,bs-skawina.com.pl
point-26812,Małopolski Bank Spółdzielczy Filia w Krakowie,os. Hutnicze 1/4,30-917 Kraków,0202,dzierzoniowski,lagiewniki,Tel: 12 452-00-51,mbsw.pl
point-24816,Małopolski Bank Spółdzielczy,ul. Kilińskiego 2,32-020 Wieliczka,0202,dzierzoniowski,lagiewniki,Tel: 12 278-14-66,mbsw.pl
point-26803,Małopolski Bank Spółdzielczy Oddział w Wieliczce,ul. Kilińskiego 2,32-020 Wieliczka,0202,dzierzoniowski,lagiewniki,Tel: 12 278-13-95,mbsw.pl
point-24585,Bank Spółdzielczy w Skawinie,Rynek 19,32-050 Skawina,0202,dzierzoniowski,lagiewniki,Tel: 12 276-38-16,bs-skawina.com.pl
point-26806,Małopolski Bank Spółdzielczy Filia nr 1 w Wieliczce,Pl. Kościuszki 1,32-020 Wieliczka,0202,dzierzoniowski,lagiewniki,Tel: 12 289-01-65,mbsw.pl
point-26569,Bank Spółdzielczy w Skawinie Filia nr 4 w Skawinie,ul. Ogrody 101,32-050 Skawina,0202,dzierzoniowski,lagiewniki,Tel: 12 276-84-50,bs-skawina.com.pl
point-26811,Małopolski Bank Spółdzielczy Filia w Wieliczce,ul. J.Słowackiego 29,32-020 Wieliczka,0202,dzierzoniowski,lagiewniki,,mbsw.pl
point-26809,Małopolski Bank Spółdzielczy Filia nr 3 w Wieliczce,ul. Wincetego Pola 4b,32-020 Wieliczka,0202,dzierzoniowski,lagiewniki,Tel: 12 288-33-80,mbsw.pl
point-26570,Bank Spółdzielczy w Skawinie Filia nr 5 w Zielonkach,ul. Krakowskie Przedmieście 114,32-087 Zielonki,0202,dzierzoniowski,lagiewniki,Tel: 12 665-03-00,bs-skawina.com.pl
point-26810,Małopolski Bank Spółdzielczy Filia w Węgrzcach Wielkich,Węgrzce Wielkie 266/1,32-002 Węgrzce Wielkie,0202,dzierzoniowski,lagiewniki,Tel: 12 251-11-12,mbsw.pl
point-26571,Bank Spółdzielczy w Skawinie Punkt Kasowy nr 2 w Radziszowie,ul. Jana Pawła II 18,32-052 Radziszów,0202,dzierzoniowski,lagiewniki,Tel: 12 256-13-01,bs-skawina.com.pl
point-26963,Gospodarczy Bank Spółdzielczy Radków z/s w Nowej Rudzie POK w Nowej Rudzie-Drogosław,ul. Świdnicka 55,57-401 Nowa Ruda,0202,dzierzoniowski,bielawa,Tel: 74 872-94-34,gbsradkow.pl
point-26876,Bank Spółdzielczy w Ząbkowicach Śląskich Oddział Budzów z siedzibą w Stoszowicach 92,Stoszowice 92,57-213 Stoszowice,0202,dzierzoniowski,bielawa,Tel: 74 818-10-08,bs-zabkowicesl.pl
point-26884,Bank Spółdzielczy w Ząbkowicach Śląskich Punkt Kasowy w Ząbkowicach Śląskich,ul. 1 Maja 15,57-200 Ząbkowice Śląskie,0202,dzierzoniowski,bielawa,Tel: 74 810-08-71,bs-zabkowicesl.pl
point-26882,Bank Spółdzielczy w Ząbkowicach Śląskich Punkt Obsługi Klienta w Ząbkowicach Śląskich,Osiedle XX lecia 16,57-200 Ząbkowice Śląskie,0202,dzierzoniowski,bielawa,Tel: 74 815-60-87,bs-zabkowicesl.pl
point-24891,Bank Spółdzielczy w Ząbkowicach Śląskich,Rynek 10,57-200 Ząbkowice Śląskie,0202,dzierzoniowski,bielawa,Tel: 74 816-44-44,bs-zabkowicesl.pl
point-26883,Bank Spółdzielczy w Ząbkowicach Śląskich Punkt Kasowy w Ząbkowicach Śląskich,ul. B.Prusa 5,57-200 Ząbkowice Śląskie,0202,dzierzoniowski,bielawa,Tel: 74 816-28-35,bs-zabkowicesl.pl
point-26885,Bank Spółdzielczy w Ząbkowicach Śląskich Oddział w Ząbkowicach Śląskich,ul. Jasna 2A,57-200 Ząbkowice Śląskie,0202,dzierzoniowski,bielawa,Tel: 74 815-23-09,bs-zabkowicesl.pl
