id,name,position,club,value,points,status
167,Mario Maloca,2,5,1.7,0,active
1300,Alasana Manneh,3,2,1.7,0,active
1094,Filip Marchwinski,3,6,1.8,0,active
1087,Andre Martins,3,4,2.2,0,active
1483,Luis Mata,2,9,2.0,0,active
780,Gabriel Matei,2,Gornik Leczna,1.7,0,out of club
272,Mateusz Matras,3,12,1.7,0,active
1756,Konrad Matuszewski,2,13,1.4,0,active
1649,Tomasz Matuszewski,3,Bruk-Bet Termalica Nieciecza,0.8,0,active
260,Hubert Matynia,2,9,1.8,0,active
1614,Milosz Matysik,2,3,0.5,0,active
1456,Filip Malek,2,13,0.5,0,active
1516,Adi Mehremic,2,14,1.5,0,active
1755,Muris Mesanovic,4,Bruk-Bet Termalica Nieciecza,1.9,0,active
1280,Damian Michalski,2,15,1.5,0,active
1037,Kacper Michalski,2,2,1.4,0,active
1665,Tomasz Midzierski,2,Gornik Leczna,1.4,0,active
1689,Patryk Mikita,4,Radomiak Radom,1.6,0,active
1573,Antonio Milic,2,6,1.8,0,active
1577,Eryk Mirus,1,5,0.5,0,active
1217,Cezary Miszta,1,4,1.6,0,injury
786,Filip Mladenovic,2,4,4.0,0,active
1206,Milosz Mleczko,1,6,1.0,0,active
1417,Filip Modelski,2,Bruk-Bet Termalica Nieciecza,1.5,0,active
231,Tomasz Mokwa,2,7,1.5,0,active
1386,Ariel Mosor,2,7,0.7,0,active
1757,Bartosz Mrozek,1,6,0.5,0,active
1700,Maciej Mrozik,3,1,0.5,0,active
1484,Bartlomiej Mruk,2,9,0.7,0,active
1212,Karlo Muhar,3,6,1.8,0,active
244,Radoslaw Murawski,3,6,2.2,0,active
1269,Sebastian Musiolik,4,10,1.9,0,active
1563,Mykola Musolitin,2,5,1.5,0,active
1137,Lubambo Musonda,3,11,1.7,0,active
1289,Wojciech Muzyk,1,4,1.0,0,active
1626,Ernest Muçi,4,4,1.8,0,active
1720,Miguel Munoz,2,7,1.9,0,active
81,Przemyslaw Mystkowski,3,3,1.6,0,active
1469,Jakub Myszor,3,1,0.5,0,active
1072,Ivan Marquez,2,1,1.8,0,out of club
371,Krzysztof Maczynski,3,11,2.0,0,active
1766,Jakub Madrzyk,1,10,0.5,0,active
1071,Mateusz Mlynski,3,14,1.5,0,active
681,Michal Nalepa,2,5,1.8,0,active
1680,Filipe Nascimento,3,Radomiak Radom,1.6,0,active
1597,Bojan Nastic,2,3,1.7,0,active
1630,Maik Nawrocki,2,4,1.8,0,active
23,Karol Niemczycki,1,1,1.8,0,active
1258,Andrzej Niewulis,2,10,2.0,0,active
1704,Blazej Niezgoda,1,3,1.0,0,active
1404,Nikodem Niski,2,4,0.5,0,out of club
1662,Jakub Nowaczek,1,Gornik Leczna,0.5,0,active
480,Bartosz Nowak,3,2,2.0,0,active
1684,Jakub Nowakowski,3,Radomiak Radom,0.5,0,active
1554,Milan Obradovic,2,15,1.6,0,active
1749,Michal Oczkowski,1,15,0.5,0,active
1699,Karol Ogorzaly,3,1,1.7,0,active
829,Damian Oko,2,16,1.6,0,active
63,Pawel Olszewski,2,3,1.5,0,uncertain
1622,Jakub Orpik,3,3,0.5,0,active
1650,Michal Orzechowski,3,Bruk-Bet Termalica Nieciecza,1.0,0,active
1002,Maciej Orlowski,2,Gornik Leczna,1.3,0,active
1541,Piotr Owczarek,3,10,0.5,0,active
985,Robert Ozog,3,1,0.5,0,active
1638,Norbert Paclawski,4,6,0.5,0,active
172,Flavio Paixao,4,5,2.5,0,active
64,Kamil Pajnowski,2,Gornik Leczna,1.2,0,active
831,Dawid Pakulski,3,16,1.5,0,active
1618,Krystian Palacz,2,6,0.5,0,active
1194,Aleksander Paluszek,2,2,1.4,0,out of club
1561,Szymon Pankiewicz,2,3,0.5,0,active
1514,Ioannis Papanikolaou,3,10,1.6,0,active
1011,Piotr Parzyszek,4,9,2.5,0,active
181,Bartlomiej Pawlowski,3,11,1.8,0,active
653,Dariusz Pawlowski,2,2,1.2,0,active
201,Michal Pazdan,2,3,2.1,0,active
321,Maciej Palaszewski,3,11,1.5,0,out of club
1651,Jakub Pek,3,Bruk-Bet Termalica Nieciecza,1.2,0,active
1362,Tomas Pekhart,4,4,4.4,0,active
1670,Pawel Perdun,3,Gornik Leczna,0.5,0,active
1712,Joel Pereira,2,6,2.1,0,active
1735,Josue Pesqueira,3,4,2.4,0,active
10,Kamil Pestka,2,1,1.6,0,active
1259,Tomas Petrasek,2,10,2.2,0,active
942,Fabian Piasecki,4,11,1.7,0,active
322,Robert Pich,3,11,2.1,0,active
1652,Daniel Pietraszkiewicz,3,Bruk-Bet Termalica Nieciecza,1.0,0,active
361,Rafal Pietrzak,2,5,2.0,0,active
1184,Mateusz Pienczak,2,1,0.5,0,active
1770,Tomasz Pienko,4,16,0.5,0,active
806,Daniel Pik,3,1,0.8,0,active
625,Filip Piszczek,4,1,1.6,0,active
790,Frantisek Plach,1,7,2.2,0,active
1043,Patryk Plewka,3,14,1.5,0,active
1112,Wiktor Plesnierowicz,2,13,0.7,0,injury
1627,Karol Podlinski,4,16,1.6,0,active
1702,Lukas Podolski,4,2,2.7,0,active
1690,Jakub Podsiadlo,4,Radomiak Radom,0.5,0,active
1091,Marko Poletanovic,3,10,1.7,0,active
769,Konrad Poprawa,2,11,1.0,0,active
1088,Lukasz Poreba,3,16,1.6,0,active
1639,Milan Posmyk,2,16,0.5,0,active
713,Martin Pospisil,3,3,1.9,0,active
1765,Patryk Prange,1,13,0.5,0,active
1136,Mateusz Praszelik,3,11,1.8,0,active
1287,Tomas Prikryl,3,3,1.8,0,active
1434,Damian Primel,1,12,1.2,0,active
1738,Leo Przybylak,1,13,0.5,0,active
1272,Israel Puerto,2,3,1.7,0,active
334,Artem Putiwcew,2,Bruk-Bet Termalica Nieciecza,1.6,0,active
133,Matus Putnocky,1,11,1.9,0,active
1232,Piotr Pyrdol,3,15,1.0,0,active
1480,Arkadiusz Pyrka,3,7,1.4,0,active
1734,Caye Quintana,4,11,2.0,0,active
1705,Dani Quintana,3,3,2.0,0,uncertain
1021,Mateusz Radecki,3,Radomiak Radom,1.6,0,active
1172,Kacper Radkowski,3,11,0.5,0,active
608,Lukasz Radlinski,1,6,0.7,0,active
1653,Adam Radwanski,3,Bruk-Bet Termalica Nieciecza,1.6,0,active
1186,Michal Rakoczy,3,1,1.3,0,active
1768,Mikolaj Rakowski,3,13,0.6,0,active
1233,Dani Ramirez,3,6,2.5,0,active
705,Damian Rasak,3,15,1.7,0,active
1695,Mathias Hebo Rasmussen,3,1,1.9,0,active
1234,Adam Ratajczyk,3,16,1.5,0,active
1113,Luis Rocha,2,1,1.7,0,active
1545,Matej Rodin,2,1,1.8,0,active
1331,Thiago Rodrigues de Souza,3,1,1.6,0,active
1548,Mario Rodriguez,3,13,1.6,0,active
783,Thomas Rogne,2,6,2.0,0,injury
1593,Kacper Rogozinski,4,15,0.5,0,active
86,Taras Romanczuk,3,3,1.8,0,active
1691,Mario Rondon,4,Radomiak Radom,1.7,0,active
1744,Kacper Rosa,1,14,1.3,0,active
1723,Lindsay Rose,2,4,2.2,0,active
1322,Maciej Rosolek,4,4,1.8,0,active
1196,Michal Rostkowski,3,2,1.0,0,active
1506,Milan Rundic,2,10,1.8,0,active
65,Ivan Runje,2,3,1.8,0,uncertain
1625,Nazarij Rusyn,4,4,1.8,0,out of club
107,Bartosz Rymaniak,2,Gornik Leczna,1.7,0,active
202,Jakub Rzezniczak,2,15,1.6,0,active
508,Cornel Rapa,2,1,2.1,0,active
1555,Damir Sadikovic,3,1,1.7,0,active
362,Maciej Sadlok,2,14,2.0,0,active
1449,Kacper Sadlocha,4,12,0.7,0,active
1574,Bartosz Salamon,2,6,2.0,0,active
1706,Michal Samborski,4,3,0.5,0,active
1092,Piotr Samiec-Talar,4,11,1.0,0,active
3,Grzegorz Sandomierski,1,2,1.9,0,active
245,Igor Sapala,3,10,1.8,0,active
1495,Stefan Savic,3,14,1.9,0,active
1685,Athanasios Scheidt,3,Radomiak Radom,1.6,0,active
1268,Petr Schwarz,3,11,1.7,0,active
1441,Lukasz Seweryn,2,12,1.0,0,active
1477,Kacper Sezonienko,4,5,0.7,0,active
282,Gonçalo Silva,2,Radomiak Radom,1.7,0,active
1299,Jean Carlos Silva,3,9,1.7,0,active
720,Michal Siplak,2,1,1.6,0,active
1525,Maksymilian Sitek,3,12,1.4,0,active
1219,Kacper Skibicki,3,4,1.8,0,active
1169,Mateusz Skrzypczak,3,6,0.8,0,active
1730,Kacper Skwierczynski,3,4,0.5,0,active
1213,Michal Skoras,3,6,1.8,0,active
574,Bartosz Slisz,3,4,2.1,0,active
1251,Kacper Smolinski,3,9,1.6,0,active
1463,Dominik Smykowski,3,13,1.2,0,active
1472,Alex Sobczyk,4,2,1.8,0,active
1068,Artur Sobiech,4,6,2.5,0,active
1096,Hubert Sobol,4,14,0.5,0,active
1492,Waldemar Sobota,3,11,1.9,0,active
1012,Patryk Sokolowski,3,7,1.8,0,active
1686,Dominik Sokol,3,Radomiak Radom,1.4,0,active
998,Pawel Sokol,1,2,1.4,0,active
1752,Ian Soler,2,16,2.0,0,active
1049,Mateusz Sopocko,3,13,0.9,0,active
1081,Karol Stanek,4,7,0.5,0,active
399,Filip Starzynski,3,16,3.0,0,active
1603,Piotr Starzynski,3,14,1.5,0,active
1292,Dominik Steczyk,4,7,1.6,0,active
1612,Godfrey Stephen,2,3,1.5,0,active
1247,Dante Stipica,1,9,2.2,0,active
168,Pawel Stolarski,2,9,1.7,0,active
1290,Karol Struski,3,3,0.9,0,active
1435,Rafal Straczek,1,12,1.7,0,active
1181,Dominik Stepien,3,Radomiak Radom,0.5,0,active
1323,Mateusz Supryn,3,1,0.5,0,active
1707,Michal Surzyn,3,3,0.6,0,active
1398,Jakub Sypek,3,16,0.5,0,active
816,Milosz Szczepanski,3,5,1.7,0,uncertain
1401,Kryspin Szczesniak,2,Gornik Leczna,0.5,0,active
1508,Adrian Szczutowski,4,15,0.5,0,active
1203,Daniel Szelagowski,3,10,1.7,0,active
224,Jakub Szmatula,1,7,1.8,0,active
1152,Dawid Szot,2,14,1.4,0,active
830,Serafin Szota,2,14,0.8,0,active
1115,Jan Szpaderski,1,Radomiak Radom,1.0,0,active
1592,Lukasz Szramowski,3,6,0.5,0,active
1493,Michal Szromnik,1,11,1.5,0,active
431,Mateusz Szwoch,3,15,2.4,0,active
1703,Jakub Szymanski,3,2,0.9,0,active
1001,Karol Szymanski,1,7,1.3,0,active
1692,Marcel Szymanski,4,Radomiak Radom,0.5,0,active
1128,Patryk Szysz,3,16,2.2,0,active
1532,Jan Sykora,3,6,2.0,0,active
1753,Oliwier Slawinski,4,16,0.5,0,active
1708,Kacper Tabis,3,3,1.0,0,active
1368,Mark Tamas,2,11,1.7,0,active
1645,Nemanja Tekijaski,2,Bruk-Bet Termalica Nieciecza,1.7,0,active
1654,Ernest Terpilowski,3,Bruk-Bet Termalica Nieciecza,0.7,0,active
1000,Pedro Tiba,3,6,2.4,0,active
1340,David Tijanic,3,10,2.2,0,uncertain
1355,Bogdan Tiru,2,3,1.7,0,uncertain
1671,Dawid Tkacz,3,Gornik Leczna,0.5,0,active
1335,Kristers Tobers,2,5,1.7,0,active
1715,Kacper Tobiasz,1,4,0.5,0,active
1503,Adrian Tokarski,1,15,0.5,0,active
432,Grzegorz Tomasiewicz,3,12,1.7,0,active
69,Piotr Tomasik,2,15,1.7,0,active
1326,Krzysztof Toporkiewicz,4,3,0.5,0,active
1721,Alberto Toril,4,7,2.0,0,active
154,Lukasz Tralka,3,13,1.9,0,active
1490,Kacper Trelowski,1,10,0.5,0,active
1249,Kostas Triantafyllopoulos,2,9,2.2,0,active
1710,Andrzej Trubeha,4,3,1.2,0,active
1341,Fran Tudor,3,10,2.2,0,active
1388,Hubert Turski,4,9,0.9,0,active
755,Patryk Tuszynski,4,15,2.0,0,active
1108,Maciej Twarowski,4,3,0.5,0,active
1672,Tomasz Tymosiak,3,Gornik Leczna,1.2,0,active
958,Zarko Udovicic,3,10,1.6,0,active
299,Maciej Urbanczyk,3,12,1.5,0,active
374,Alan Uryga,2,14,1.8,0,uncertain
742,Joel Valencia,3,4,2.1,0,out of club
1624,Kristian Vallo,2,15,1.8,0,active
1187,Pelle van Amersfoort,3,1,2.1,0,active
1207,Mickey van der Hart,1,6,1.9,0,active
1655,Marcel Vasil,3,Bruk-Bet Termalica Nieciecza,1.0,0,active
1732,Diogo Verdasca,2,11,1.8,0,active
1374,Kristopher Vida,3,7,1.8,0,active
1758,Pedro Vieira,4,10,1.3,0,active
1713,Kacper Wachowiak,2,6,0.5,0,active
1610,Krystian Wachowiak,2,14,0.6,0,active
1714,Patryk Walis,2,6,0.5,0,active
1403,Damian Warchol,3,15,0.9,0,active
563,Marcin Wasielewski,2,Bruk-Bet Termalica Nieciecza,1.6,0,active
633,Mateusz Wdowiak,3,10,1.8,0,active
1363,Bartlomiej Wdowik,2,3,1.6,0,active
1773,Szymon Weirauch,1,16,0.5,0,active
1677,Kacper Wiatrak,2,Radomiak Radom,0.5,0,out of club
491,Mateusz Wieteska,2,4,2.1,0,active
5,Adam Wilk,1,1,0.8,0,active
142,Maciej Wilusz,2,10,1.8,0,active
1583,Mateusz Winciersz,3,7,1.0,0,active
1399,Jakub Witek,3,15,0.8,0,active
986,Michal Wisniewski,3,1,0.9,0,active
992,Przemyslaw Wisniewski,2,2,1.8,0,active
461,Piotr Wlazlo,3,Bruk-Bet Termalica Nieciecza,1.7,0,active
1465,Mateusz Wojciechowski,3,13,0.5,0,active
1709,Oliwier Wojciechowski,3,3,0.5,0,active
1674,Pawel Wojciechowski,4,Gornik Leczna,1.6,0,active
1540,Norbert Wojtuszek,3,2,1.0,0,active
184,Rafal Wolski,3,15,1.6,0,active
959,Konrad Wrzesinski,3,3,1.7,0,uncertain
1565,Olivier Wypart,2,11,0.5,0,active
1728,Michael Wyparlo,3,12,0.5,0,active
14,Jakub Wojcicki,2,16,1.7,0,active
1569,Oskar Wojcik,2,1,0.5,0,active
1252,Marcel Wedrychowski,3,9,0.6,0,active
57,Damian Weglarz,1,15,1.6,0,active
1406,Szymon Wlodarczyk,4,4,0.5,0,active
1619,Jasur Yaxshiboyev,3,4,1.9,0,uncertain
1513,Yaw Yeboah,3,14,1.8,0,active
1606,Michal Zachcial,3,7,0.6,0,active
1666,Jakub Zagorski,2,Gornik Leczna,1.3,0,active
1553,Luka Zahovic,4,9,1.9,0,active
1188,Patryk Zaucha,3,1,0.7,0,active
391,Damian Zbozien,2,15,1.6,0,active
1311,Przemyslaw Zdybowicz,4,14,1.1,0,active
1250,Benedikt Zech,2,9,2.2,0,active
1656,Martin Zeman,3,Bruk-Bet Termalica Nieciecza,1.6,0,active
1701,Lukasz Ziemnik,4,1,0.6,0,active
1599,Jan Ziewiec,2,1,0.5,0,active
1616,Adam Zrelak,4,13,1.7,0,uncertain
