Player,Link
Miszta Cezary,fantasy.ekstraklasa.org/player/1217
Mladenović Filip,fantasy.ekstraklasa.org/player/786
Mleczko Miłosz,fantasy.ekstraklasa.org/player/1206
Modelski Filip,fantasy.ekstraklasa.org/player/1417
Moder Jakub,fantasy.ekstraklasa.org/player/1211
Mokwa Tomasz,fantasy.ekstraklasa.org/player/231
Moskiewicz Patryk,fantasy.ekstraklasa.org/player/1278
Mosór Ariel,fantasy.ekstraklasa.org/player/1386
Mroczko Szymon,fantasy.ekstraklasa.org/player/1418
Mruk Bartłomiej,fantasy.ekstraklasa.org/player/1484
Mráz Samuel,fantasy.ekstraklasa.org/player/1522
Muhar Karlo,fantasy.ekstraklasa.org/player/1212
Musiolik Sebastian,fantasy.ekstraklasa.org/player/1269
Musonda Lubambo,fantasy.ekstraklasa.org/player/1137
Muzyk Wojciech,fantasy.ekstraklasa.org/player/1289
Mystkowski Przemysław,fantasy.ekstraklasa.org/player/81
Myszor Jakub,fantasy.ekstraklasa.org/player/1469
Márquez Iván,fantasy.ekstraklasa.org/player/1072
Mączyński Krzysztof,fantasy.ekstraklasa.org/player/371
Nalepa Michał,fantasy.ekstraklasa.org/player/681
Nawrocki Mikołaj,fantasy.ekstraklasa.org/player/996
Neugebauer Bartosz,fantasy.ekstraklasa.org/player/991
Niemczycki Karol,fantasy.ekstraklasa.org/player/23
Niepsuj David,fantasy.ekstraklasa.org/player/262
Niewiadomski Jakub,fantasy.ekstraklasa.org/player/1519
Niewulis Andrzej,fantasy.ekstraklasa.org/player/1258
Niski Nikodem,fantasy.ekstraklasa.org/player/1404
Novikovas Arvydas,fantasy.ekstraklasa.org/player/528
Nowak Bartosz,fantasy.ekstraklasa.org/player/480
Nowak Tomasz,fantasy.ekstraklasa.org/player/967
Obradović Milan,fantasy.ekstraklasa.org/player/1554
Oko Damian,fantasy.ekstraklasa.org/player/829
Olszewski Paweł,fantasy.ekstraklasa.org/player/63
Olszewski Sebastian,fantasy.ekstraklasa.org/player/1527
Osyra Kornel,fantasy.ekstraklasa.org/player/927
Owczarek Piotr,fantasy.ekstraklasa.org/player/1541
Oziębała Przemysław,fantasy.ekstraklasa.org/player/1387
Ożóg Robert,fantasy.ekstraklasa.org/player/985
Paixao Flávio,fantasy.ekstraklasa.org/player/172
Pakulski Dawid,fantasy.ekstraklasa.org/player/831
Paluszek Aleksander,fantasy.ekstraklasa.org/player/1194
Pankiewicz Szymon,fantasy.ekstraklasa.org/player/1561
Papanikoláou Ioánnis,fantasy.ekstraklasa.org/player/1514
Parzyszek Piotr,fantasy.ekstraklasa.org/player/1011
Pawelec Mariusz,fantasy.ekstraklasa.org/player/311
Pawlak Aleksander,fantasy.ekstraklasa.org/player/1369
Pawłowski Bartłomiej,fantasy.ekstraklasa.org/player/181
Pawłowski Damian,fantasy.ekstraklasa.org/player/819
Pawłowski Dariusz,fantasy.ekstraklasa.org/player/653
Pałaszewski Maciej,fantasy.ekstraklasa.org/player/321
Pekhart Tomas,fantasy.ekstraklasa.org/player/1362
Pestka Kamil,fantasy.ekstraklasa.org/player/10
Petk Adrian,fantasy.ekstraklasa.org/player/1295
Petrášek Tomáš,fantasy.ekstraklasa.org/player/1259
Peškovič Michal,fantasy.ekstraklasa.org/player/100
Piasecki Fabian,fantasy.ekstraklasa.org/player/942
Pich Róbert,fantasy.ekstraklasa.org/player/322
Pietrzak Rafał,fantasy.ekstraklasa.org/player/361
Pieńczak Mateusz,fantasy.ekstraklasa.org/player/1184
Pik Daniel,fantasy.ekstraklasa.org/player/806
Pindroch Branislav,fantasy.ekstraklasa.org/player/1489
Piszczek Filip,fantasy.ekstraklasa.org/player/625
Pituła Dorian,fantasy.ekstraklasa.org/player/1468
Piątkowski Kamil,fantasy.ekstraklasa.org/player/1126
Plach František,fantasy.ekstraklasa.org/player/790
Plewka Patryk,fantasy.ekstraklasa.org/player/1043
Podstawski Tomás,fantasy.ekstraklasa.org/player/1076
Polaček Martin,fantasy.ekstraklasa.org/player/383
Poletanovič Marko,fantasy.ekstraklasa.org/player/1091
Poprawa Konrad,fantasy.ekstraklasa.org/player/769
Poręba Łukasz,fantasy.ekstraklasa.org/player/1088
Pospíšil Martin,fantasy.ekstraklasa.org/player/713
Praszelik Mateusz,fantasy.ekstraklasa.org/player/1136
Preuss Wiktor,fantasy.ekstraklasa.org/player/1526
Prikryl Tomáš,fantasy.ekstraklasa.org/player/1287
Primel Damian,fantasy.ekstraklasa.org/player/1434
Prochazka Roman,fantasy.ekstraklasa.org/player/1348
Prokić Andreja,fantasy.ekstraklasa.org/player/1446
Puchacz Tymoteusz,fantasy.ekstraklasa.org/player/556
Puerto Israel,fantasy.ekstraklasa.org/player/1272
Puljić Jakov,fantasy.ekstraklasa.org/player/1351
Putnocký Matúš,fantasy.ekstraklasa.org/player/133
Pyrdoł Piotr,fantasy.ekstraklasa.org/player/1232
Pyrka Arkadiusz,fantasy.ekstraklasa.org/player/1480
Rakoczy Michał,fantasy.ekstraklasa.org/player/1186
Rakowiecki Michał,fantasy.ekstraklasa.org/player/1245
Rakowski Adrian,fantasy.ekstraklasa.org/player/398
Ramírez Dani,fantasy.ekstraklasa.org/player/1233
Rasak Damian,fantasy.ekstraklasa.org/player/705
Ratajczyk Adam,fantasy.ekstraklasa.org/player/1234
Reese Søren,fantasy.ekstraklasa.org/player/1531
Rocha Luís,fantasy.ekstraklasa.org/player/1113
Rodin Matej,fantasy.ekstraklasa.org/player/1545
Rodrigues de Souza Thiago,fantasy.ekstraklasa.org/player/1331
Rodríguez Julio,fantasy.ekstraklasa.org/player/1559
Rodríguez Mario,fantasy.ekstraklasa.org/player/1548
Roginić Marko,fantasy.ekstraklasa.org/player/1432
Rogne Thomas,fantasy.ekstraklasa.org/player/783
Romanczuk Taras,fantasy.ekstraklasa.org/player/86
Rosołek Maciej,fantasy.ekstraklasa.org/player/1322
Rostkowski Michał,fantasy.ekstraklasa.org/player/1196
Rundić Milan,fantasy.ekstraklasa.org/player/1506
Runje Ivan,fantasy.ekstraklasa.org/player/65
Rybicki Mariusz,fantasy.ekstraklasa.org/player/121
Ryczkowski Adam,fantasy.ekstraklasa.org/player/989
Rymaniak Bartosz,fantasy.ekstraklasa.org/player/107
Rzeźniczak Jakub,fantasy.ekstraklasa.org/player/202
Rzuchowski Michał,fantasy.ekstraklasa.org/player/1425
Râpă Cornel,fantasy.ekstraklasa.org/player/508
Rémy William,fantasy.ekstraklasa.org/player/787
Sadiković Damir,fantasy.ekstraklasa.org/player/1555
Sadlok Maciej,fantasy.ekstraklasa.org/player/362
Sadłocha Kacper,fantasy.ekstraklasa.org/player/1449
Saief Kenny,fantasy.ekstraklasa.org/player/1367
Samiec-Talar Piotr,fantasy.ekstraklasa.org/player/1092
Sanogo Vamara,fantasy.ekstraklasa.org/player/972
Santos Matheus,fantasy.ekstraklasa.org/player/1084
Sapała Igor,fantasy.ekstraklasa.org/player/245
Savić Stefan,fantasy.ekstraklasa.org/player/1495
Scalet Mathieu,fantasy.ekstraklasa.org/player/773
Schwarz Petr,fantasy.ekstraklasa.org/player/1268
Seweryn Łukasz,fantasy.ekstraklasa.org/player/1441
Sezonienko Kacper,fantasy.ekstraklasa.org/player/1477
Sheridan Cillian,fantasy.ekstraklasa.org/player/576
Sielewski Bartłomiej,fantasy.ekstraklasa.org/player/445
Sieracki Konrad,fantasy.ekstraklasa.org/player/1426
Sierpina Łukasz,fantasy.ekstraklasa.org/player/1427
Silva Jean Carlos,fantasy.ekstraklasa.org/player/1299
Siplak Michal,fantasy.ekstraklasa.org/player/720
Sirk Rok,fantasy.ekstraklasa.org/player/1284
Sitek Maksymilian,fantasy.ekstraklasa.org/player/1525
Skibicki Kacper,fantasy.ekstraklasa.org/player/1219
Skrzyniak Adrian,fantasy.ekstraklasa.org/player/1442
Skóraś Michał,fantasy.ekstraklasa.org/player/1213
Slisz Bartosz,fantasy.ekstraklasa.org/player/574
Smoliński Kacper,fantasy.ekstraklasa.org/player/1251
Smykowski Dominik,fantasy.ekstraklasa.org/player/1463
Sobczak Szymon,fantasy.ekstraklasa.org/player/1474
Sobczyk Alex,fantasy.ekstraklasa.org/player/1472
Sobota Waldemar,fantasy.ekstraklasa.org/player/1492
Sokołowski Patryk,fantasy.ekstraklasa.org/player/1012
Sopoćko Mateusz,fantasy.ekstraklasa.org/player/1049
Spychała Mateusz,fantasy.ekstraklasa.org/player/1199
Stanek Karol,fantasy.ekstraklasa.org/player/1081
Starzycki Błażej,fantasy.ekstraklasa.org/player/1488
Starzyński Filip,fantasy.ekstraklasa.org/player/399
Stasik Szymon,fantasy.ekstraklasa.org/player/1447
Stawiarz Aleksander,fantasy.ekstraklasa.org/player/1359
Stec David,fantasy.ekstraklasa.org/player/1016
Steczyk Dominik,fantasy.ekstraklasa.org/player/1292
Stipica Dante,fantasy.ekstraklasa.org/player/1247
Stolarski Paweł,fantasy.ekstraklasa.org/player/168
Struski Karol,fantasy.ekstraklasa.org/player/1290
Strózik Sebastian,fantasy.ekstraklasa.org/player/776
Strączek Rafał,fantasy.ekstraklasa.org/player/1435
Studnicki Michał,fantasy.ekstraklasa.org/player/1428
Supryn Mateusz,fantasy.ekstraklasa.org/player/1323
Sus Martin,fantasy.ekstraklasa.org/player/1542
Sypek Jakub,fantasy.ekstraklasa.org/player/1398
Szczepaniak Mateusz,fantasy.ekstraklasa.org/player/28
Szczepański Miłosz,fantasy.ekstraklasa.org/player/816
Szczerbal Dariusz,fantasy.ekstraklasa.org/player/1023
Szcześniak Kryspin,fantasy.ekstraklasa.org/player/1401
Szczutowski Adrian,fantasy.ekstraklasa.org/player/1508
Szelągowski Daniel,fantasy.ekstraklasa.org/player/1203
Szmatuła Jakub,fantasy.ekstraklasa.org/player/224
Szmyt Kajetan,fantasy.ekstraklasa.org/player/1464
Szot Dawid,fantasy.ekstraklasa.org/player/1152
Szpakowski Marcin,fantasy.ekstraklasa.org/player/1383
Szromnik Michał,fantasy.ekstraklasa.org/player/1493
Szumilas Wojciech,fantasy.ekstraklasa.org/player/1502
Szumski Jakub,fantasy.ekstraklasa.org/player/1254
Szwoch Mateusz,fantasy.ekstraklasa.org/player/431
Szymański Karol,fantasy.ekstraklasa.org/player/1001
Szymczak Filip,fantasy.ekstraklasa.org/player/1214
Szymonowicz Dawid,fantasy.ekstraklasa.org/player/88
Szysz Patryk,fantasy.ekstraklasa.org/player/1128
Sýkora Jan,fantasy.ekstraklasa.org/player/1532
Tamas Mark,fantasy.ekstraklasa.org/player/1368
Tiba Pedro,fantasy.ekstraklasa.org/player/1000
Tijanić David,fantasy.ekstraklasa.org/player/1340
Tiru Bogdan,fantasy.ekstraklasa.org/player/1355
Tobers Kristers,fantasy.ekstraklasa.org/player/1335
Tokarski Adrian,fantasy.ekstraklasa.org/player/1503
Tomasiewicz Grzegorz,fantasy.ekstraklasa.org/player/432
Tomasik Piotr,fantasy.ekstraklasa.org/player/69
Tomczyk Paweł,fantasy.ekstraklasa.org/player/521
Toporkiewicz Krzysztof,fantasy.ekstraklasa.org/player/1326
Trałka Łukasz,fantasy.ekstraklasa.org/player/154
Trelowski Kacper,fantasy.ekstraklasa.org/player/1490
Triantafyllópoulos Kóstas,fantasy.ekstraklasa.org/player/1249
Tudor Fran,fantasy.ekstraklasa.org/player/1341
Turgeman Alon,fantasy.ekstraklasa.org/player/1353
Turski Hubert,fantasy.ekstraklasa.org/player/1388
Tuszyński Patryk,fantasy.ekstraklasa.org/player/755
Twardek Kris,fantasy.ekstraklasa.org/player/1557
Ubbink Desley,fantasy.ekstraklasa.org/player/1429
Udovičić Žarko,fantasy.ekstraklasa.org/player/958
Urbańczyk Maciej,fantasy.ekstraklasa.org/player/299
Urbański Kacper,fantasy.ekstraklasa.org/player/1327
Uryga Alan,fantasy.ekstraklasa.org/player/374
Valencia Joel,fantasy.ekstraklasa.org/player/742
van Amersfoort Pelle,fantasy.ekstraklasa.org/player/1187
van der Hart Mickey,fantasy.ekstraklasa.org/player/1207
Vassilantonópoulos Stávros,fantasy.ekstraklasa.org/player/1380
Vestenický Tomáš,fantasy.ekstraklasa.org/player/31
Vešović Marko,fantasy.ekstraklasa.org/player/788
Vida Kristopher,fantasy.ekstraklasa.org/player/1374
Vikri Egy Maulana,fantasy.ekstraklasa.org/player/1047
Warchoł Damian,fantasy.ekstraklasa.org/player/1403
Wdowiak Mateusz,fantasy.ekstraklasa.org/player/633
Wdowik Bartłomiej,fantasy.ekstraklasa.org/player/1363
Wieteska Mateusz,fantasy.ekstraklasa.org/player/491
Wilk Adam,fantasy.ekstraklasa.org/player/5
Wilusz Maciej,fantasy.ekstraklasa.org/player/142
Witek Jakub,fantasy.ekstraklasa.org/player/1399
Wiśniewski Michał,fantasy.ekstraklasa.org/player/986
Wiśniewski Przemysław,fantasy.ekstraklasa.org/player/992
Wojciechowski Mateusz,fantasy.ekstraklasa.org/player/1465
Wojtkowski Kamil,fantasy.ekstraklasa.org/player/706
Wojtuszek Norbert,fantasy.ekstraklasa.org/player/1540
Wolski Rafał,fantasy.ekstraklasa.org/player/184
Wolsztyński Łukasz,fantasy.ekstraklasa.org/player/658
Wróbel Jakub,fantasy.ekstraklasa.org/player/486
Wrąbel Jakub,fantasy.ekstraklasa.org/player/691
Wszołek Paweł,fantasy.ekstraklasa.org/player/1319
Wyjadłowski Mateusz,fantasy.ekstraklasa.org/player/1510
Wójcicki Jakub,fantasy.ekstraklasa.org/player/14
Wędrychowski Marcel,fantasy.ekstraklasa.org/player/1252
Węglarz Damian,fantasy.ekstraklasa.org/player/57
Włodarczyk Szymon,fantasy.ekstraklasa.org/player/1406
Yeboah Yaw,fantasy.ekstraklasa.org/player/1513
Zahovič Luka,fantasy.ekstraklasa.org/player/1553
Zaucha Patryk,fantasy.ekstraklasa.org/player/1188
Zawada Oskar,fantasy.ekstraklasa.org/player/795
Zbozień Damian,fantasy.ekstraklasa.org/player/391
Zech Benedikt,fantasy.ekstraklasa.org/player/1250
Zivulic Diego,fantasy.ekstraklasa.org/player/1317
Zjawiński Łukasz,fantasy.ekstraklasa.org/player/1507
Zwoliński Łukasz,fantasy.ekstraklasa.org/player/279
Zylla Marcel,fantasy.ekstraklasa.org/player/1544
Zé Gomes José,fantasy.ekstraklasa.org/player/1364
Álvarez Marcos,fantasy.ekstraklasa.org/player/1470
Černych Fedor,fantasy.ekstraklasa.org/player/71
Čečarić Bojan,fantasy.ekstraklasa.org/player/1104
Łabojko Jakub,fantasy.ekstraklasa.org/player/1020
Łasicki Igor,fantasy.ekstraklasa.org/player/723
Ławniczak Aleks,fantasy.ekstraklasa.org/player/1455
Łyszczarz Adrian,fantasy.ekstraklasa.org/player/583
Ściślak Daniel,fantasy.ekstraklasa.org/player/1305
Świerczok Jakub,fantasy.ekstraklasa.org/player/700
Šatka Ľubomír,fantasy.ekstraklasa.org/player/1209
Šimić Lorenco,fantasy.ekstraklasa.org/player/1523
Šteinbors Pavels,fantasy.ekstraklasa.org/player/412
Štiglec Dino,fantasy.ekstraklasa.org/player/1273
Żamaletdinow Timur,fantasy.ekstraklasa.org/player/1140
Żubrowski Jakub,fantasy.ekstraklasa.org/player/531
Żuk Paweł,fantasy.ekstraklasa.org/player/1216
Żukow Gieorgij,fantasy.ekstraklasa.org/player/1325
Żukowski Mateusz,fantasy.ekstraklasa.org/player/777
Żurawski Maciej,fantasy.ekstraklasa.org/player/1121
Żurek Marcel,fantasy.ekstraklasa.org/player/1533
Żynel Bartłomiej,fantasy.ekstraklasa.org/player/1029
Żyro Mateusz,fantasy.ekstraklasa.org/player/813
Żyro Michał,fantasy.ekstraklasa.org/player/1085
Živec Saša,fantasy.ekstraklasa.org/player/248
Żamaletdinow Timur,fantasy.ekstraklasa.org/player/1140
Żubrowski Jakub,fantasy.ekstraklasa.org/player/531
Żuk Paweł,fantasy.ekstraklasa.org/player/1216
Żukow Gieorgij,fantasy.ekstraklasa.org/player/1325
Żukowski Mateusz,fantasy.ekstraklasa.org/player/777
Żurawski Maciej,fantasy.ekstraklasa.org/player/1121
Żurek Marcel,fantasy.ekstraklasa.org/player/1533
Żynel Bartłomiej,fantasy.ekstraklasa.org/player/1029
Żyro Mateusz,fantasy.ekstraklasa.org/player/813
Żyro Michał,fantasy.ekstraklasa.org/player/1085
Živec Saša,fantasy.ekstraklasa.org/player/248
Żamaletdinow Timur,fantasy.ekstraklasa.org/player/1140
Żubrowski Jakub,fantasy.ekstraklasa.org/player/531
Żuk Paweł,fantasy.ekstraklasa.org/player/1216
Żukow Gieorgij,fantasy.ekstraklasa.org/player/1325
Żukowski Mateusz,fantasy.ekstraklasa.org/player/777
Żurawski Maciej,fantasy.ekstraklasa.org/player/1121
Żurek Marcel,fantasy.ekstraklasa.org/player/1533
Żynel Bartłomiej,fantasy.ekstraklasa.org/player/1029
Żyro Mateusz,fantasy.ekstraklasa.org/player/813
Żyro Michał,fantasy.ekstraklasa.org/player/1085
Živec Saša,fantasy.ekstraklasa.org/player/248
