Round,Opponent,Time,Goals,Assists,Own_goal,Penalty,Penalty_won,Penalty_given,Penalty_lost,Penalty_defended,InStat,Yellow_card,Red_card,Points
1,STM,59,0,0,0,0,0,0,0,0,0,0,0,2
2,LPO,19,0,0,0,0,0,0,0,0,0,0,0,1
3,LEG,0,0,0,0,0,0,0,0,0,0,0,0,0
4,WIS,0,0,0,0,0,0,0,0,0,0,0,0,0
5,WAR,0,0,0,0,0,0,0,0,0,0,0,0,0
6,RCZ,0,0,0,0,0,0,0,0,0,0,0,0,0
7,LA,0,0,0,0,0,0,0,0,0,0,0,0,0
8,PIA,0,0,0,0,0,0,0,0,0,0,0,0,0
9,POG,0,0,0,0,0,0,0,0,0,0,0,0,0
10,JAG,0,0,0,0,0,0,0,0,0,0,0,0,0
11,CRA,0,0,0,0,0,0,0,0,0,0,0,0,0
12,GÃ“R,0,0,0,0,0,0,0,0,0,0,0,0,0
13,LGD,0,0,0,0,0,0,0,0,0,0,0,0,0
14,POD,0,0,0,0,0,0,0,0,0,0,0,0,0
